method,num_stas,snr_db_mean,seed,aggregate_throughput,packet_delivery_ratio,collision_prob_npca,npca_transition_count,phy_error_count,phy_error_rate,harq_success_count,harq_fail_count,total_tx
no_harq,20,8,42,97,1.0,0.0,0,110,0.3151862464183381,0,0,349
no_harq,20,8,123,115,0.9126984126984127,0.6887417218543046,60,101,0.21814254859611232,0,0,463
no_harq,20,8,456,106,1.0,0.0,0,108,0.3185840707964602,0,0,339
same_ch_harq,20,8,42,130,0.9701492537313433,0.696969696969697,40,86,0.19815668202764977,29,17,434
same_ch_harq,20,8,123,121,0.952755905511811,0.6821192052980133,60,97,0.21603563474387527,23,19,449
same_ch_harq,20,8,456,126,0.9473684210526315,0.7767857142857143,80,91,0.19696969696969696,19,19,462
cross_ch_harq,20,8,42,130,0.9558823529411765,0.7222222222222222,40,86,0.20046620046620048,30,26,429
cross_ch_harq,20,8,123,127,0.9621212121212122,0.6752136752136753,60,89,0.2,27,32,445
cross_ch_harq,20,8,456,131,0.9849624060150376,0.7352941176470589,40,84,0.21428571428571427,33,21,392
no_harq,20,10,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,0,0,541
no_harq,20,10,123,195,1.0,0.7,40,27,0.05555555555555555,0,0,486
no_harq,20,10,456,182,0.978494623655914,0.7535211267605634,80,37,0.07020872865275142,0,0,527
same_ch_harq,20,10,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,2,6,541
same_ch_harq,20,10,123,202,1.0,0.7,40,22,0.044534412955465584,6,6,494
same_ch_harq,20,10,456,186,0.9893617021276596,0.7209302325581395,40,32,0.061895551257253385,5,10,517
cross_ch_harq,20,10,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,2,10,541
cross_ch_harq,20,10,123,203,1.0,0.7,40,21,0.04251012145748988,7,7,494
cross_ch_harq,20,10,456,186,0.9893617021276596,0.7209302325581395,40,32,0.061895551257253385,7,15,517
no_harq,20,12,42,163,0.9878787878787879,0.782608695652174,20,54,0.11297071129707113,0,0,478
no_harq,20,12,123,160,0.9696969696969697,0.7037037037037037,60,58,0.11372549019607843,0,0,510
no_harq,20,12,456,164,0.9761904761904762,0.7096774193548387,60,55,0.1252847380410023,0,0,439
same_ch_harq,20,12,42,166,0.9880952380952381,0.782608695652174,20,53,0.1127659574468085,12,7,470
same_ch_harq,20,12,123,172,0.9885057471264368,0.6949152542372882,40,46,0.08984375,7,15,512
same_ch_harq,20,12,456,156,0.9873417721518988,0.6808510638297872,60,59,0.135632183908046,18,15,435
cross_ch_harq,20,12,42,166,0.9880952380952381,0.782608695652174,20,53,0.1127659574468085,13,10,470
cross_ch_harq,20,12,123,172,0.9885057471264368,0.6949152542372882,40,46,0.08984375,9,23,512
cross_ch_harq,20,12,456,159,0.9875776397515528,0.6590909090909091,60,57,0.13286713286713286,22,14,429
no_harq,20,14,42,97,1.0,0.0,0,110,0.3151862464183381,0,0,349
no_harq,20,14,123,115,0.9126984126984127,0.6887417218543046,60,101,0.21814254859611232,0,0,463
no_harq,20,14,456,106,1.0,0.0,0,108,0.3185840707964602,0,0,339
same_ch_harq,20,14,42,130,0.9701492537313433,0.696969696969697,40,86,0.19815668202764977,29,17,434
same_ch_harq,20,14,123,121,0.952755905511811,0.6821192052980133,60,97,0.21603563474387527,23,19,449
same_ch_harq,20,14,456,126,0.9473684210526315,0.7767857142857143,80,91,0.19696969696969696,19,19,462
cross_ch_harq,20,14,42,130,0.9558823529411765,0.7222222222222222,40,86,0.20046620046620048,30,26,429
cross_ch_harq,20,14,123,127,0.9621212121212122,0.6752136752136753,60,89,0.2,27,32,445
cross_ch_harq,20,14,456,131,0.9849624060150376,0.7352941176470589,40,84,0.21428571428571427,33,21,392
no_harq,20,16,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,0,0,541
no_harq,20,16,123,195,1.0,0.7,40,27,0.05555555555555555,0,0,486
no_harq,20,16,456,182,0.978494623655914,0.7535211267605634,80,37,0.07020872865275142,0,0,527
same_ch_harq,20,16,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,2,6,541
same_ch_harq,20,16,123,202,1.0,0.7,40,22,0.044534412955465584,6,6,494
same_ch_harq,20,16,456,186,0.9893617021276596,0.7209302325581395,40,32,0.061895551257253385,5,10,517
cross_ch_harq,20,16,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,2,10,541
cross_ch_harq,20,16,123,203,1.0,0.7,40,21,0.04251012145748988,7,7,494
cross_ch_harq,20,16,456,186,0.9893617021276596,0.7209302325581395,40,32,0.061895551257253385,7,15,517
no_harq,20,18,42,163,0.9878787878787879,0.782608695652174,20,54,0.11297071129707113,0,0,478
no_harq,20,18,123,160,0.9696969696969697,0.7037037037037037,60,58,0.11372549019607843,0,0,510
no_harq,20,18,456,164,0.9761904761904762,0.7096774193548387,60,55,0.1252847380410023,0,0,439
same_ch_harq,20,18,42,166,0.9880952380952381,0.782608695652174,20,53,0.1127659574468085,12,7,470
same_ch_harq,20,18,123,172,0.9885057471264368,0.6949152542372882,40,46,0.08984375,7,15,512
same_ch_harq,20,18,456,156,0.9873417721518988,0.6808510638297872,60,59,0.135632183908046,18,15,435
cross_ch_harq,20,18,42,166,0.9880952380952381,0.782608695652174,20,53,0.1127659574468085,13,10,470
cross_ch_harq,20,18,123,172,0.9885057471264368,0.6949152542372882,40,46,0.08984375,9,23,512
cross_ch_harq,20,18,456,159,0.9875776397515528,0.6590909090909091,60,57,0.13286713286713286,22,14,429
no_harq,20,20,42,97,1.0,0.0,0,110,0.3151862464183381,0,0,349
no_harq,20,20,123,115,0.9126984126984127,0.6887417218543046,60,101,0.21814254859611232,0,0,463
no_harq,20,20,456,106,1.0,0.0,0,108,0.3185840707964602,0,0,339
same_ch_harq,20,20,42,130,0.9701492537313433,0.696969696969697,40,86,0.19815668202764977,29,17,434
same_ch_harq,20,20,123,121,0.952755905511811,0.6821192052980133,60,97,0.21603563474387527,23,19,449
same_ch_harq,20,20,456,126,0.9473684210526315,0.7767857142857143,80,91,0.19696969696969696,19,19,462
cross_ch_harq,20,20,42,130,0.9558823529411765,0.7222222222222222,40,86,0.20046620046620048,30,26,429
cross_ch_harq,20,20,123,127,0.9621212121212122,0.6752136752136753,60,89,0.2,27,32,445
cross_ch_harq,20,20,456,131,0.9849624060150376,0.7352941176470589,40,84,0.21428571428571427,33,21,392
no_harq,20,22,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,0,0,541
no_harq,20,22,123,195,1.0,0.7,40,27,0.05555555555555555,0,0,486
no_harq,20,22,456,182,0.978494623655914,0.7535211267605634,80,37,0.07020872865275142,0,0,527
same_ch_harq,20,22,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,2,6,541
same_ch_harq,20,22,123,202,1.0,0.7,40,22,0.044534412955465584,6,6,494
same_ch_harq,20,22,456,186,0.9893617021276596,0.7209302325581395,40,32,0.061895551257253385,5,10,517
cross_ch_harq,20,22,42,198,0.9850746268656716,0.7666666666666667,40,20,0.036968576709796676,2,10,541
cross_ch_harq,20,22,123,203,1.0,0.7,40,21,0.04251012145748988,7,7,494
cross_ch_harq,20,22,456,186,0.9893617021276596,0.7209302325581395,40,32,0.061895551257253385,7,15,517
no_harq,20,24,42,163,0.9878787878787879,0.782608695652174,20,54,0.11297071129707113,0,0,478
no_harq,20,24,123,160,0.9696969696969697,0.7037037037037037,60,58,0.11372549019607843,0,0,510
no_harq,20,24,456,164,0.9761904761904762,0.7096774193548387,60,55,0.1252847380410023,0,0,439
same_ch_harq,20,24,42,166,0.9880952380952381,0.782608695652174,20,53,0.1127659574468085,12,7,470
same_ch_harq,20,24,123,172,0.9885057471264368,0.6949152542372882,40,46,0.08984375,7,15,512
same_ch_harq,20,24,456,156,0.9873417721518988,0.6808510638297872,60,59,0.135632183908046,18,15,435
cross_ch_harq,20,24,42,166,0.9880952380952381,0.782608695652174,20,53,0.1127659574468085,13,10,470
cross_ch_harq,20,24,123,172,0.9885057471264368,0.6949152542372882,40,46,0.08984375,9,23,512
cross_ch_harq,20,24,456,159,0.9875776397515528,0.6590909090909091,60,57,0.13286713286713286,22,14,429
no_harq,20,26,42,97,1.0,0.0,0,110,0.3151862464183381,0,0,349
no_harq,20,26,123,115,0.9126984126984127,0.6887417218543046,60,101,0.21814254859611232,0,0,463
no_harq,20,26,456,106,1.0,0.0,0,108,0.3185840707964602,0,0,339
same_ch_harq,20,26,42,130,0.9701492537313433,0.696969696969697,40,86,0.19815668202764977,29,17,434
same_ch_harq,20,26,123,121,0.952755905511811,0.6821192052980133,60,97,0.21603563474387527,23,19,449
same_ch_harq,20,26,456,126,0.9473684210526315,0.7767857142857143,80,91,0.19696969696969696,19,19,462
cross_ch_harq,20,26,42,130,0.9558823529411765,0.7222222222222222,40,86,0.20046620046620048,30,26,429
cross_ch_harq,20,26,123,127,0.9621212121212122,0.6752136752136753,60,89,0.2,27,32,445
cross_ch_harq,20,26,456,131,0.9849624060150376,0.7352941176470589,40,84,0.21428571428571427,33,21,392
